Id,InstructorId,SubjectId,Title,Language,ThumbnailUrl,Price,Rating,Duration,TotalEnrolled,DeductionAmount,LastUpdatedDate,UploadDate,Level,DeductionType,LearningObjectives,LecturesLinks,EnrolledStudentsIds,PictureUrl,Reviews
1,7,1,Introduction to Artificial Intelligence,English,https://picsum.photos/48/959,668,4.6,15,138,2,2024-01-05,2024-02-27,Advanced,Percentage,"- Understand the fundamental concepts and principles of artificial intelligence
- Explore different techniques and algorithms used in AI, such as machine learning and neural networks
- Gain hands-on experience with programming AI applications
- Evaluate ethical considerations and implications of AI technologies
- Analyze real-world applications of AI in various industries",https://brown.com/,"[5891, 7609, 41778, 23259, 18502, 31478, 71726, 77126, 9418, 28607, 84580, 42525]",https://dummyimage.com/602x62,"[{'Rating': 4.8, 'Comment': 'Project month more watch brother. Wait exactly paper policy son raise arrive. Require either money clear community.'}, {'Rating': 2.5, 'Comment': 'Should between group kind most for. Key throw during next enter only raise. Process entire base fish. Place major late or again.'}, {'Rating': 3.8, 'Comment': 'Future need market class so similar food. Level movie knowledge author beautiful already.'}, {'Rating': 1.1, 'Comment': 'Mission cost begin stage military contain. Spend four bank state send natural.'}, {'Rating': 2.4, 'Comment': 'Suffer option through relationship performance per. Vote per person increase nation list focus.'}, {'Rating': 2.2, 'Comment': 'Leave clearly play per in cover. Expert opportunity present.'}]"
1,3,1,Machine Learning Fundamentals,English,https://dummyimage.com/717x175,411,3.7,70,735,9,2024-02-29,2024-03-11,Advanced,Fixed,"By the end of this course, students will be able to:
- Understand the basic concepts and techniques in machine learning
- Identify different types of machine learning algorithms and their applications
- Apply machine learning algorithms to solve real-world problems
- Evaluate and interpret the results of machine learning models
- Implement and evaluate supervised and unsupervised machine learning algorithms
- Demonstrate the ability to use machine learning libraries and tools
- Critically analyze and compare different machine learning techniques.",https://www.brown.info/,"[59986, 59888, 92396, 10608, 32897, 62095, 18038, 91644, 20920, 62822, 96967, 86909, 29946, 79775, 58233, 41087, 67797, 25584, 50126, 3541, 38372, 75163, 53750, 26182, 58309]",https://placekitten.com/357/1013,"[{'Rating': 1.4, 'Comment': 'Statement sense music really population. Him production interest tree move. To although find gun he night fill.'}, {'Rating': 3.0, 'Comment': 'Friend suffer raise unit method enter son. Produce mention production claim hair.'}, {'Rating': 4.9, 'Comment': 'Site wish among majority indeed night. Sit inside good choose order. Soldier general seem population week good by.'}, {'Rating': 1.0, 'Comment': 'Point bag me its sing. Go past majority company space.'}, {'Rating': 4.8, 'Comment': 'Answer state truth rich painting performance. Leg himself particularly black.'}, {'Rating': 1.5, 'Comment': 'Set only three town point. Agent return young race.'}, {'Rating': 2.1, 'Comment': 'Moment structure position nice. Author value who yeah.'}]"
1,7,1,Deep Learning Essentials,English,https://placekitten.com/177/298,269,1.1,25,812,5,2024-04-02,2024-02-06,Advanced,Percentage,"1. Understand the fundamentals of deep learning, including neural networks and backpropagation.
2. Implement common deep learning algorithms, such as Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs).
3. Explore advanced topics in deep learning, such as generative adversarial networks (GANs) and reinforcement learning.
4. Apply deep learning techniques to real-world problems in areas such as computer vision, natural language processing, and speech recognition.
5. Evaluate and fine-tune deep learning models to improve their performance.",https://www.edwards-waters.com/,"[3812, 83316, 64711, 7315, 32678, 51308, 94916, 42783, 78033, 13052, 5247, 4266]",https://placekitten.com/949/141,"[{'Rating': 1.2, 'Comment': 'Remember bad most full young.'}, {'Rating': 3.9, 'Comment': 'Ready interest property west federal ok upon.'}, {'Rating': 3.1, 'Comment': 'Edge through season. Black themselves also prove.'}, {'Rating': 2.6, 'Comment': 'Share car medical catch woman task. Play arm city share offer can Congress.'}, {'Rating': 3.1, 'Comment': 'Pick decision reveal trial street determine. Movement traditional represent color machine white.'}, {'Rating': 1.7, 'Comment': 'Key thought color somebody research hear fight although. Test often close car law how serve why. Student however language could war concern.'}, {'Rating': 3.1, 'Comment': 'Sport western challenge list room accept. Bank few nice yet open box. Cup leader clearly.'}]"
1,7,1,AI Ethics and Society,English,https://placekitten.com/265/423,813,4.4,85,234,2,2024-04-24,2024-03-19,Beginner,Fixed,"- Understand the ethical implications of artificial intelligence technologies in society
- Analyze and critique current ethical frameworks and guidelines in AI development and implementation
- Evaluate the impacts of AI on diverse societal groups and vulnerable populations
- Develop strategies for promoting ethical AI practices and addressing potential biases in AI algorithms
- Apply ethical principles to real-world AI case studies and scenarios for decision-making and policy development.",https://www.harvey.com/,"[32081, 41008, 71662, 76010, 57208, 37679, 10982, 11723, 15783, 813, 34731, 26705, 50364, 21707, 72603, 55551, 59100, 13103, 42908]",https://picsum.photos/493/882,"[{'Rating': 4.7, 'Comment': 'Gun red old market loss. Heart carry notice land summer public. Often six race need move growth couple. Wall decision share trouble blue.'}, {'Rating': 4.7, 'Comment': 'Sure tend space billion policy look. Name surface tax stuff gun improve. Imagine look involve cold employee.'}, {'Rating': 2.6, 'Comment': 'During exist find model experience cause strategy. Remain cut create moment rise base. Drop artist site baby beat however evening.'}, {'Rating': 4.2, 'Comment': 'Same relationship turn choose whatever next. Thousand say possible bit structure life short.'}, {'Rating': 2.0, 'Comment': 'Than item spring he learn other PM produce.'}, {'Rating': 1.7, 'Comment': 'Community plan back forget. Anything unit particular be hope. Both late box become room itself.'}, {'Rating': 3.2, 'Comment': 'Minute part perform give paper visit bit. Partner sure than happen. Produce position large issue possible easy herself lawyer. Former kind question nature.'}, {'Rating': 2.0, 'Comment': 'Although chance positive. White break quite wrong sing test. Surface kind camera people go choice blood.'}, {'Rating': 1.2, 'Comment': 'Similar evidence significant single detail. Eat clearly kitchen practice fill blue. Environmental their gun house.'}, {'Rating': 4.7, 'Comment': 'Resource past lawyer imagine do hair.'}]"
1,3,1,Python for Data Science,English,https://dummyimage.com/566x267,410,3.4,18,697,3,2024-03-27,2024-03-11,Advanced,Percentage,"By the end of this course, students will be able to:
- Understand and apply fundamental Python programming concepts
- Manipulate and analyze data using Python libraries such as Pandas and NumPy
- Visualize data effectively using Matplotlib and Seaborn
- Perform statistical analysis and machine learning using scikit-learn
- Interpret and communicate findings through data visualization and storytelling",https://coleman.com/,"[61195, 72302, 97061, 98510, 60378, 14367, 4120, 65166, 74322, 60657]",https://picsum.photos/507/304,"[{'Rating': 1.6, 'Comment': 'Growth argue half area experience deep. Space understand idea feel good pretty natural. Little former day day west stand surface scientist.'}]"
1,7,1,Computer Vision Fundamentals,English,https://picsum.photos/377/486,903,4.5,63,511,7,2024-02-16,2024-04-13,Advanced,Percentage,"- Understand the basic concepts, theories, and algorithms of computer vision 
- Develop skills in image processing and analysis techniques 
- Gain proficiency in using computer vision technologies and tools 
- Apply computer vision fundamentals to real-world problems and applications 
- Critically evaluate and interpret results from computer vision systems 
- Communicate effectively about computer vision concepts and applications.",http://www.davis-miller.info/,"[97559, 56772, 48764, 29402, 68624, 57608, 67722, 17250, 4414, 40336, 48898, 85747, 73694, 28489, 85592, 28919, 66406, 26314, 52695, 30695, 99759, 32759, 91103, 15773, 79572, 81699, 50660, 57759, 79321, 6817, 91957, 81899, 44103, 56479, 74830, 15467, 1580, 33605, 35003, 82062, 23331, 86922, 5184, 76834, 61601, 65586, 71946, 49584]",https://placekitten.com/29/298,"[{'Rating': 1.9, 'Comment': 'Bill option go chair TV month such. Kind but education. Goal run water appear will tough.'}, {'Rating': 2.5, 'Comment': 'Mr head what economy back would run.'}, {'Rating': 3.4, 'Comment': 'Administration music within hour country imagine type. Total news accept let.'}, {'Rating': 3.3, 'Comment': 'Our speech remain of long somebody such. Weight affect choice cell century. Total focus indicate simply senior quite.'}, {'Rating': 4.3, 'Comment': 'Itself either company number certain attack thought president. Relationship have college happy result purpose.'}, {'Rating': 3.5, 'Comment': 'Smile perform effort at. Base true reason player.'}]"
1,3,1,Natural Language Processing Basics,English,https://dummyimage.com/600x509,760,2.0,86,753,2,2024-01-01,2024-01-05,Advanced,Fixed,"By the end of the course, students should be able to:
- Understand the fundamentals of Natural Language Processing (NLP)
- Identify the common tasks in NLP such as tokenization, stemming, and named entity recognition
- Apply basic programming techniques to manipulate and analyze text data
- Evaluate and compare different NLP models and techniques
- Build simple NLP applications using Python and popular NLP libraries",https://lambert.com/,"[59589, 33636, 39399, 24013, 98969]",https://placekitten.com/499/676,"[{'Rating': 3.6, 'Comment': 'Country side goal inside eight over. Nor on collection sure what number such occur. Clearly agent occur agent miss.'}, {'Rating': 1.1, 'Comment': 'Away money deal hot call itself image. Look way goal respond popular probably visit.'}, {'Rating': 2.4, 'Comment': 'Then activity war go. Clearly whole light fill soon threat. Yourself some professional hospital often.'}, {'Rating': 2.0, 'Comment': 'School mother run fall quickly affect. Sport sound nor western. Yes various effort include story center only.'}, {'Rating': 2.8, 'Comment': 'Half meeting sell character. Term address hot listen. Democrat he have pick executive.'}, {'Rating': 3.7, 'Comment': 'Candidate his clear star certainly short cover. Situation positive remain memory arm. Friend argue level available.'}, {'Rating': 4.9, 'Comment': 'Let machine major skin hospital. Of whatever prepare mission. Use range create wrong least what.'}]"
1,10,2,Embedded Systems Design,Arabic,https://dummyimage.com/899x244,900,1.7,60,930,5,2024-02-18,2024-03-08,Beginner,Percentage,"By the end of the course, students will be able to: 
1. Understand the fundamentals of embedded systems design, including hardware and software aspects. 
2. Develop and implement efficient algorithms for embedded systems. 
3. Design and prototype embedded systems using microcontrollers and sensors. 
4. Analyze and optimize the performance of embedded systems for specific applications. 
5. Apply industry best practices and standards in embedded systems design.",https://pena.com/,"[42097, 62275, 68326, 52094, 67607, 38191, 28771, 68331, 13262, 84273, 81365, 12256, 61313, 35701, 74390, 18505, 30637]",https://dummyimage.com/1006x64,"[{'Rating': 1.6, 'Comment': 'Difference military thousand source. Job stop discuss.'}, {'Rating': 4.2, 'Comment': 'Too bar very company join throw accept.'}, {'Rating': 3.0, 'Comment': 'Something main artist our wish green report design. Happen floor plant natural. Past establish take recently song artist.'}, {'Rating': 1.9, 'Comment': 'Note lose board expert field throw. Simply enjoy ago operation issue.'}]"
1,10,2,Microcontroller Programming,Arabic,https://placekitten.com/134/236,65,3.9,34,425,10,2024-02-18,2024-02-15,Advanced,Fixed,"- Understand the basics of microcontroller architecture and programming
- Learn how to write and execute code on various microcontroller platforms
- Develop skills in using integrated development environments (IDEs) for microcontroller programming
- Gain knowledge of interfacing sensors and actuators with microcontrollers
- Design and implement basic projects using microcontrollers",http://www.williams-brown.org/,"[66718, 48799, 28990, 44798, 93753, 79262, 27337, 85545, 97040, 91760]",https://picsum.photos/404/402,"[{'Rating': 4.8, 'Comment': 'Of hotel land.'}, {'Rating': 2.9, 'Comment': 'Cut place then middle usually box business. Often party might realize.'}, {'Rating': 2.9, 'Comment': 'Court something build cut position.'}, {'Rating': 2.8, 'Comment': 'From order take final option read view cup. Pm gas often piece meet town field. Report defense price list that forget.'}, {'Rating': 4.5, 'Comment': 'Opportunity win find bed general expert value. Fire memory couple health first science.'}]"
1,10,2,RTOS Fundamentals,Arabic,https://dummyimage.com/653x913,42,2.8,22,281,5,2024-01-15,2024-03-14,Beginner,Fixed,"- Understand the fundamental concepts of Real-Time Operating Systems (RTOS)
- Gain knowledge of the architecture and functionality of RTOS
- Learn how to develop and implement real-time applications using RTOS
- Acquire skills in task scheduling, synchronization, and communication mechanisms in RTOS
- Understand the importance of real-time requirements, constraints, and performance metrics in RTOS design and development.",https://www.lee-kim.com/,"[56953, 2843, 62236, 79276, 88614, 55758, 6684, 59822, 46145, 78018, 15198, 40606, 82475, 25400, 335, 82176, 77719, 2696, 49012, 18438, 21461, 14592, 63941, 22639, 96908, 83051, 45102, 86537, 22571, 96383, 91693, 39272, 58017, 33104, 24328, 58507, 71329, 76066, 51813, 91648, 498, 10630, 25521, 97807, 81415, 99785, 19474, 8202]",https://placekitten.com/394/62,"[{'Rating': 1.9, 'Comment': 'Quite they cause start. Improve per car now win how from recent.'}, {'Rating': 2.1, 'Comment': 'Star eight gas although politics young. Scientist despite somebody difference huge. Value style coach under knowledge.'}]"
